Tweet_id,Class,Sentence
1328,sadness," #1: @idek ed ""My skin burns and is ugly. Makes me sad):"""
1329,sadness," #2: @🌹👻 ed ""@sad_adult Pardon my whining pls & thank u for listening to it"""
1330,sadness," #3: @Kunjabihari panda ed ""@ANINewsUP This is called ""Garibi Hatao"" mission of congress. So sad."""
1331,sadness," #4: @Ahmet UCAL ed ""RT @tgmcelebi: Bugün vatan için Şehit düşen kahramanlarımız:Şehit Yüzbaşı Celalettin ÖzdemirŞehit Uzman Çavuş Mehmet ErdoğanŞehit P. Sö…"""
1332,sadness," #5: @☾ LILY ed ""RT @hoyaspop: I’m so sad.. https://t.co/uX88n9eYs4"""
1333,sadness," #6: @☀️Bambi Hobi 🦌 ed ""RT @smaIIseok: seokjin vehemently denying that he didn't hurt himself  :( how worried must hoseok looked for seokjin to act like that my he…"""
1334,sadness," #7: @BRI 🌶 ed ""RT @aj_fairley: Im not happy....but I'm not sad I'm just empty like idgaf bout Nun anymore🤷🏾‍♂️"""
1335,sadness," #8: @baby *:･ﾟ✧ ed ""headache, stomachache, tired, sad...  i haven’t eaten a proper meal in almost 2 days. i should take care of myself >:("""
1336,sadness," #9: @regular ass nigga. ed ""If you are ever sad remember one thing...It doesnt get any worse then that"""
1337,sadness," #10: @Lake Dweller ed ""RT @omgshuddup: Just waiting around for Game of Thrones to start and feeling sad that I don't have a pet dragon...yet"""
1338,sadness," #11: @Alice🌺◎🇮🇹◎#SaveShadowhunters ed ""RT @JMunozActor: I’m sad to say I won’t be able to physically join everyone in LA tomorrow for the live  but I’ll still be joining in…"""
1339,sadness," #12: @Tatjana Stankovic ed ""RT @Kolos_Srb: Najbolje bi bilo sad za lidere opozicije da se lepo povuku sa politicke scene Srbije dok jos mogu i manu se rdjavog posla da…"""
1340,sadness," #13: @RTRS vijesti ed ""Dačić: Perјance OVK sad bi da sude Srbima #RTRS #RTRSvijesti https://t.co/riWsLIyiNS"""
1341,sadness," #14: @ً ed ""When you’re happy, you enjoy the music. But when you’re sad, you understand the lyrics"""
1342,sadness," #15: @Haj. ed ""It's sad to hear that one of the staff was scolded because somebody complained about her praying. And that senior also told her cause she's the most senior so she must stop praying at work. That's horrible."""
1343,sadness," #16: @Marcin Rol ed ""RT @MiMichalewicz: Szkocja wyda Polsce 48 przestępców.Sąd w Edynburgu nie dopatrzył się zastrzeżeń do niezależności sądownictwa w PL."
1344,sadness," #17: @adem bolat ed ""RT @abdullahagar2: Denizciydi, ama o dağları çölleri tercih etti.Hendeklerde PKK’nın içine gerisine sızdı. Canlarını alıp, yarattığı korku…"""
1345,sadness," #18: @池阿米 ed ""RT @nevermindksj: IM BIG SAD 😭 BTSatRoseBowl #BTSinLA #SpeakYourselfTour #BTSatRoseBowl @BTS_twt https://t.co/P5xQQblZE3"""
1346,sadness," #19: @𝕯𝖚𝖆 𝕷𝖚𝖕𝖆⚠️ ed ""I’m sad and low"""
1347,sadness," #20: @JK 💜 A.R.M.Y ed ""RT @Jikookie05: okey m sad now 😔 Jikook nation I have done something!!#jikook #kookmin #BTSinROSEBOWL https://t.co/sua22sMUYv"""
1348,sadness," #21: @✨🌸💕kristen ✈️ BTS and TXT💕🌸✨6 | sfr ed ""Jin is possibly my biggest role model. Without him I’d be really sad and I would’ve dropped out. Thank you, Kim Seokjin for being the greatest role model ever. I hope to make you proud of me one day 💜💕"""
1349,sadness," #22: @DC Kim Taylor ed ""@NorwichCityFC Very sad to miss this... been through it all this season but I had to go on my honeymoon .. bad planning I know 😳💚💛"""
1350,sadness," #23: @Night 💜 |Shine Dream Smile| ed ""@Txbts2 Oh no hon. They are friends, and in my opinion much more than that. I always feel sad with these moments, but then I remember past moments (and wonderful) and I am better. Always believe in their love 💜"""
1351,sadness," #24: @eliszza ed ""Nervous and sad pero más calmada for sure..."""
1352,sadness," #25: @deva -3- ed ""He was crying but kept saying love you guys I’m so sad"""
1353,sadness," #26: @MyVVLoves💕 ed ""You are happy when you enjoy the music but,You are sad when you understand the lyrics. 😃"""
1354,sadness," #27: @JM3 ed ""@fiero_deplorevo @LiveAction @caitie1877 @BrianSimsPA Just sad.... That is literally all I can say about it"""
1355,sadness," #28: @Angela Resquir ed ""RT @relatehugots: I'm sad but I smile, well I'm used to it."""
1356,sadness," #29: @𝓚𝓮𝓲𝓽𝓱 𝓒𝓸𝓼𝓮𝓷𝓽𝓲𝓷𝓸 ♠ ed ""@Lil_AyG713 Thats why amiee roasted me on the way out the door because im stating facts...Apparently im a sad sad man because i realized shit dont work anymore ha"""
1357,sadness," #30: @Cara Mia ed ""#PennyWong been delivering for Labor as moral, trusted Leader in the Senate for years. Glad a bit of sunlight falling on this talent finally. Notice too how many impressive women on Labor side. Quotas delivered quality candidates. Only fearful Coalition men disagree.Typical. Sad. https://t.co/78KNSwao2A"""
1358,sadness," #31: @Peter Q ed ""@Sad_Objects @TeamINEOS @100Climbs @chrisfroome Try not to a rude troll eh ginger?"""
